SN,Station,StreamType,Customer,Desc_,Status,Lat,Long,LAT,LNG
173264.0,no,Trash,Philadelphia City of,Sw Broad/Oregon,In Service,39.9166563472,-75.1715502037,39.91665634700007,-75.17155020399997
174230.0,no,Trash,Philadelphia City of,Sw 22nd/Cathrine,In Service,39.9423454803,-75.1792610907,39.94234548000003,-75.17926109099994
174232.0,no,Trash,Philadelphia City of,5713 Germantown Ave,In Service,40.0362477848,-75.175120246,40.03624778500006,-75.17512024599995
174233.0,no,Trash,Philadelphia City of,Nw Hellerman/Frankford ave,In Service,40.0295267349,-75.0561237202,40.02952673500005,-75.05612371999996
174234.0,no,Trash,Philadelphia City of,Nw Schoolhouse/Germantown ave,In Service,40.0343703841,-75.172736855,40.034370384000056,-75.17273685499998
174235.0,no,Trash,Philadelphia City of,Nw 5th/Somerset,In Service,39.9937698659,-75.1399555681,39.99376986600004,-75.13995556799995
174236.0,no,Trash,Philadelphia City of,Sw Price/Germantown (Park w/s),In Service,40.0367492861,-75.1755272295,40.03674928600003,-75.17552722899995
174238.0,no,Trash,Philadelphia City of,Sw Dickinson/Point Breeze,In Service,39.9332758778,-75.1807566772,39.933275878000074,-75.18075667699998
174239.0,no,Trash,Philadelphia City of,Se Broad/Diamond,In Service,39.9845986475,-75.1565321865,39.98459864700004,-75.15653218699998
174240.0,no,Trash,Philadelphia City of,Sw 5th/Lehigh,In Service,39.9920126422,-75.1402910951,39.99201264200008,-75.14029109499995
174241.0,no,Trash,Philadelphia City of,Southampton/Germantown mid block/Post Office,In Service,40.073865679,-75.2030946356,40.07386567900005,-75.20309463599995
174242.0,no,Trash,Philadelphia City of,Ne Reed/Hicks,In Service,39.9332673713,-75.1701603439,39.933267371000056,-75.17016034399995
174243.0,no,Trash,Philadelphia City of,Nw Knorr/Frankford ave,In Service,40.0323219587,-75.0511195337,40.03232195900006,-75.05111953399995
174245.0,no,Trash,Philadelphia City of,Nw Robbins/Frankford ave,In Service,40.027941077,-75.0598946356,40.02794107700004,-75.05989463599997
174246.0,no,Trash,Philadelphia City of,Nw Aldine/Frankford ave,In Service,40.0372,-75.0397,40.03720000000004,-75.03969999999998
174247.0,no,Trash,Philadelphia City of,3526 Cottman Ave,In Service,40.0372232144,-75.0417122454,40.03722321400005,-75.04171224499999
174248.0,no,Trash,Philadelphia City of,Ne Snyder/Point Breeze,In Service,39.9269869277,-75.1895746714,39.926986928000076,-75.18957467099995
174267.0,yes,Trash,Philadelphia City of,Ne Broad/Spring Garden,In Service,39.9627,-75.1613,39.96270000000004,-75.16129999999998
174268.0,yes,Trash,Philadelphia City of,Ne Ridge/Cinnaminson,In Service,40.04,-75.2242,40.04000000000008,-75.22419999999994
174269.0,no,Trash,Philadelphia City of,Sw Broad/Girard,In Service,39.971365,-75.159323,39.97136500000005,-75.15932299999997
174270.0,yes,Trash,Philadelphia City of,Se Broad/Girard,In Service,39.9713,-75.1594,39.97130000000004,-75.15939999999995
174271.0,yes,Trash,Philadelphia City of,Nw 60th/Market,In Service,39.9621192383,-75.240859416,39.96211923800007,-75.24085941599998
174272.0,yes,Trash,Philadelphia City of,Se Seargent/Kensington,In Service,39.9881534691,-75.1285080466,39.98815346900005,-75.12850804699997
